customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C100000,Female,0,No,No,0,No,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,90.04,17.8,No
C100001,Male,0,No,No,4,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),51.55,135.51,Yes
C100002,Female,1,Yes,No,42,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),63.48,2619.75,No
C100003,Female,0,No,No,34,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,94.37,3286.13,Yes
C100004,Female,0,No,No,10,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),122.62,1154.86,Yes
C100005,Male,0,No,Yes,11,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),86.14,1061.59,Yes
C100006,Female,0,No,No,18,Yes,No,No,No,No,No,Yes,No,No,Two year,Yes,Electronic check,74.0,1303.43,No
C100007,Female,0,Yes,No,0,Yes,No,No,No,No,No,No,Yes,No,One year,No,Mailed check,54.51,79.04,No
C100008,Female,0,No,Yes,6,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,39.68,222.8,No
C100009,Male,0,Yes,No,5,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),103.29,556.45,No
C100010,Female,0,No,Yes,6,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,65.4,462.15,No
C100011,Female,1,Yes,No,39,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,104.52,4145.78,Yes
C100012,Female,1,Yes,No,7,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),60.11,391.55,No
